Strategy,Mean,Median,Std,low,high,Time(mus)
GA,-40.6842,-44.1224,14.8503,-69.9276,-4.3997,398.74
DE1,-73.84,-75,5.97113,-83,-54,740.8
DE2,-2.46,-1,5.61502,-25,6,966.08
DE3,-43.64,-44,4.83636,-52,-28,769.4
DE4,5.46,4.5,7.16438,-17,20,1046.38
DE5,59.2,60.5,6.4436,44,70,1344.5
DE6,-49.86,-50.5,15.1947,-75,-11,1068.96
DE7,33.22,34,6.78613,10,47,1450.64
DE8,-75.76,-76.5,3.41503,-80,-63,1119.14
DE9,38.76,39,10.5633,15,61,1580.22
DE10,145.04,148.5,12.0399,112,164,2086.44
PS0,68.0722,72.9753,44.2199,-2.88217,160.005,1711.16
MFO,-23.1218,-24.8292,14.3918,-63.2611,9.20829,1947.34
CS,124.088,119.377,16.3176,93.2002,148.237,537.6
WOA,-63.7284,-66.6805,12.1979,-81.2184,-31.8776,1459.04
